07.01.1995,2,12,19,41,47,48,5
14.01.1995,8,23,28,40,42,45,8
21.01.1995,12,18,21,27,41,44,6
28.01.1995,17,33,37,39,45,49,9
04.02.1995,2,4,6,8,31,44,5
11.02.1995,11,13,35,38,41,42,0
18.02.1995,1,9,12,24,31,38,1
25.02.1995,3,6,26,34,37,47,1
04.03.1995,27,36,37,41,47,49,6
11.03.1995,4,18,21,25,26,31,6
18.03.1995,7,8,13,32,33,43,0
25.03.1995,5,10,13,28,32,43,3
01.04.1995,4,11,20,32,33,48,2
08.04.1995,13,15,24,32,36,49,5
15.04.1995,10,23,26,33,38,45,6
22.04.1995,20,22,25,26,33,37,6
29.04.1995,4,13,21,25,26,31,8
06.05.1995,2,18,27,31,38,39,2
13.05.1995,1,16,28,30,34,48,3
20.05.1995,6,12,16,20,39,41,0
27.05.1995,1,13,18,25,28,30,0
03.06.1995,10,11,26,29,32,45,1
10.06.1995,3,18,20,21,30,40,0
17.06.1995,11,14,25,40,42,48,1
24.06.1995,3,7,28,30,33,37,0
01.07.1995,2,23,28,29,44,47,8
08.07.1995,9,10,21,22,24,44,0
15.07.1995,3,5,25,34,44,46,9
22.07.1995,12,13,16,26,32,47,1
29.07.1995,11,12,39,41,43,45,5
05.08.1995,5,9,17,23,36,47,6
12.08.1995,13,20,26,44,48,49,3
19.08.1995,4,23,32,36,42,49,3
26.08.1995,13,17,20,27,33,48,5
02.09.1995,6,11,25,32,37,42,2
09.09.1995,7,16,23,37,41,42,9
16.09.1995,19,21,29,37,40,43,7
23.09.1995,20,24,27,28,38,40,4
30.09.1995,6,11,14,15,25,46,2
07.10.1995,3,9,10,18,37,39,4
14.10.1995,3,5,21,31,42,47,4
21.10.1995,10,15,32,36,37,39,1
28.10.1995,2,11,13,20,36,40,8
04.11.1995,18,23,29,33,37,44,0
11.11.1995,15,21,24,33,38,39,9
18.11.1995,1,13,23,25,32,43,9
25.11.1995,32,39,42,44,48,49,0
02.12.1995,2,16,25,26,37,39,4
09.12.1995,2,9,12,15,38,39,6
16.12.1995,13,21,28,33,39,47,3
23.12.1995,6,7,20,35,44,47,8
30.12.1995,8,21,24,32,43,49,6
