03.01.2009,6,10,14,21,40,46,0
10.01.2009,6,17,18,37,41,49,4
17.01.2009,4,12,32,38,42,46,1
24.01.2009,2,12,14,16,36,46,0
31.01.2009,7,9,11,14,17,31,2
07.02.2009,2,13,15,35,39,48,3
14.02.2009,17,28,29,40,42,47,2
21.02.2009,3,14,18,29,31,41,7
28.02.2009,1,15,20,21,22,33,6
07.03.2009,7,26,33,37,38,44,8
14.03.2009,5,8,26,44,45,49,4
21.03.2009,10,13,21,23,34,38,5
28.03.2009,3,4,41,44,47,49,0
04.04.2009,1,2,11,22,26,36,4
11.04.2009,2,3,7,17,37,38,4
18.04.2009,2,5,10,20,25,42,7
25.04.2009,6,11,18,19,35,43,0
02.05.2009,2,13,17,18,26,41,0
09.05.2009,8,22,24,30,36,40,8
16.05.2009,15,32,35,36,42,47,8
23.05.2009,13,14,20,28,29,33,9
30.05.2009,17,18,21,35,36,43,9
06.06.2009,3,10,13,23,27,35,2
13.06.2009,4,6,38,42,46,48,7
20.06.2009,18,26,35,37,41,46,7
27.06.2009,3,14,37,38,45,47,1
04.07.2009,11,15,30,31,32,39,1
11.07.2009,1,3,12,14,27,43,0
18.07.2009,1,2,5,9,30,45,5
25.07.2009,6,11,23,24,31,35,0
01.08.2009,2,16,30,35,44,46,8
08.08.2009,9,19,32,34,38,41,2
15.08.2009,3,5,8,23,34,42,5
22.08.2009,8,12,14,17,22,25,9
29.08.2009,13,23,24,35,36,44,6
05.09.2009,4,12,24,25,26,45,8
12.09.2009,5,19,23,34,40,41,8
19.09.2009,11,14,17,22,33,39,0
26.09.2009,8,9,25,33,39,45,4
03.10.2009,11,16,19,27,34,36,4
10.10.2009,15,16,20,24,27,40,8
17.10.2009,24,31,39,43,44,45,4
24.10.2009,5,18,22,24,39,48,1
31.10.2009,7,13,21,22,25,33,7
07.11.2009,1,9,27,28,34,37,8
14.11.2009,1,3,10,11,25,44,8
21.11.2009,4,8,14,24,44,47,1
28.11.2009,24,30,33,34,36,45,6
05.12.2009,6,7,8,16,29,42,8
12.12.2009,4,18,22,26,38,49,5
19.12.2009,7,14,15,18,29,47,3
26.12.2009,7,11,16,24,39,49,8
